MI,MI_err,L,p,p_0,L_A,t,runs
1.00126162991966,0.02754661038553536,10.0,0.8,0.0,5.0,13.0,100.0
1.00860460901889,0.027741235540849406,10.0,0.8,0.0,5.0,14.0,100.0
1.014829978298777,0.027911355166658613,10.0,0.8,0.0,5.0,15.0,100.0
1.020141688189268,0.028061219916801244,10.0,0.8,0.0,5.0,16.0,100.0
1.0246984919790687,0.02819378404768081,10.0,0.8,0.0,5.0,17.0,100.0
1.028629110328872,0.02831145067454821,10.0,0.8,0.0,5.0,18.0,100.0
1.0320397896510758,0.02841673089831482,10.0,0.8,0.0,5.0,19.0,100.0
1.0350099645819182,0.02851050135984996,10.0,0.8,0.0,5.0,20.0,100.0
1.0376088597871485,0.028594066863940802,10.0,0.8,0.0,5.0,21.0,100.0
1.0398992401568297,0.028670560176450706,10.0,0.8,0.0,5.0,22.0,100.0
1.0419200537443922,0.028737743158183376,10.0,0.8,0.0,5.0,23.0,100.0
1.0437127490883844,0.028799424493795224,10.0,0.8,0.0,5.0,24.0,100.0
1.0453055631672838,0.028854752920162513,10.0,0.8,0.0,5.0,25.0,100.0
1.046737217621677,0.028905521751456553,10.0,0.8,0.0,5.0,26.0,100.0
1.0479974890203982,0.02895046145582606,10.0,0.8,0.0,5.0,27.0,100.0
1.0491502137427626,0.028991992424102615,10.0,0.8,0.0,5.0,28.0,100.0
1.05020379304744,0.029030145851068546,10.0,0.8,0.0,5.0,29.0,100.0
1.051121454486251,0.029063989585026102,10.0,0.8,0.0,5.0,30.0,100.0
1.05197673357424,0.02909539472454494,10.0,0.8,0.0,5.0,31.0,100.0
1.0527544739569201,0.02912390044100697,10.0,0.8,0.0,5.0,32.0,100.0
1.0534501089284627,0.029148591295834653,10.0,0.8,0.0,5.0,33.0,100.0
1.0541035376644903,0.029174008086528192,10.0,0.8,0.0,5.0,34.0,100.0
1.0546926770252107,0.029195342280098624,10.0,0.8,0.0,5.0,35.0,100.0
1.0552310230425044,0.029214694320984315,10.0,0.8,0.0,5.0,36.0,100.0
1.0557345060775172,0.029234003652767147,10.0,0.8,0.0,5.0,37.0,100.0
1.0561935276228755,0.029250762646473805,10.0,0.8,0.0,5.0,38.0,100.0
1.056615383826288,0.029266243639902812,10.0,0.8,0.0,5.0,39.0,100.0
1.0570130076916895,0.029281327784467133,10.0,0.8,0.0,5.0,40.0,100.0
1.0573714847094515,0.02929421863806254,10.0,0.8,0.0,5.0,41.0,100.0
1.0577135263874902,0.029307068165298,10.0,0.8,0.0,5.0,42.0,100.0
1.0580232847680857,0.029318490647862554,10.0,0.8,0.0,5.0,43.0,100.0
1.0583158322185207,0.029328902741823253,10.0,0.8,0.0,5.0,44.0,100.0
1.0585876347883751,0.02933925448232616,10.0,0.8,0.0,5.0,45.0,100.0
1.0588374724999965,0.029348081699660557,10.0,0.8,0.0,5.0,46.0,100.0
1.059077775415853,0.029356781264480984,10.0,0.8,0.0,5.0,47.0,100.0
1.059295566988569,0.029364981369655895,10.0,0.8,0.0,5.0,48.0,100.0
